Probe Set	Gene Symbol	UniGene ID	Representative Public ID	Gene Title=Chromosomal Location	CON1	CON2	CON3	CON4	CON5	BNF1	BNF2	BNF3	BNF4	BNF5	D3T1	D3T2	D3T3	D3T4	D3T5	OLT1	OLT2	OLT3	OLT4	OLT5
1391946_at	Selp	Rn.10012	BI296054	selectin, platelet=chr13q22	8.039690278	8.102236932	8.263530131	8.209498718	8.096545511	8.205030622	8.064649218	8.13286201	8.208731228	7.987795206	8.022334427	8.790893462	8.623053106	7.84840659	8.029450008	9.764893516	8.406623623	8.449135131	7.953386041	7.823632717
1369813_at	Dnajc5	Rn.100120	U39320	DnaJ (Hsp40) homolog, subfamily C, member 5=chr3q43	57.42488626	76.12687353	59.24449262	52.75560407	58.62772426	61.1084947	86.04956542	60.02731138	92.5166907	68.53161156	105.4156718	60.85004564	60.31764655	57.07050496	57.36004704	59.55477263	60.49089947	60.48229477	57.34738565	73.4182148
1371870_at	Anxa13_predicted	Rn.100125	AI169493	Annexin A13 (predicted)=chr7q33	1011.146508	804.3979479	830.6407697	755.7787583	881.1392183	834.6915305	726.6165702	777.3951512	730.0379474	845.7152462	780.2942432	899.1813852	832.8329061	751.9592648	771.6214128	821.1855579	677.5875431	489.1881017	703.5794499	742.7039928
1391346_at	Anxa13_predicted /// Zhx1	Rn.100125 /// Rn.16902	BG373537	Annexin A13 (predicted) /// Zinc-fingers and homeoboxes 1=chr7q33	563.6988555	521.5712798	570.9722012	503.0837891	625.7846033	483.1054075	615.403272	556.7912357	443.6321881	690.9493186	786.0127933	808.4398863	977.9739284	804.7259618	639.3520651	882.5410553	568.5376886	346.910787	415.884616	552.4335424
1370024_at	RGD1307234_predicted /// Fabp7	Rn.10014 /// Rn.162279	NM_030832	Similar to RIKEN cDNA 4931400A14 (predicted) /// Fatty acid binding protein 7, brain=chr9q38 /// chr20q11	5966.041964	6127.185015	9237.181242	4971.160059	5326.926391	10443.0894	7361.71529	4562.494802	10158.5871	8815.654328	1705.974563	1230.619318	1402.153003	1966.197815	3338.077813	1176.186923	5011.227398	2062.372505	3597.526952	7229.965612
1368600_at	Slc26a1	Rn.10016	NM_022287	solute carrier family 26 (sulfate transporter), member 1=chr14p22	3435.933955	3397.572238	3737.338312	3482.19447	4325.109161	3459.89073	2484.985641	3369.405597	3313.683276	3265.215238	2619.749949	3271.6912	2915.477129	2944.506372	4145.89864	3540.521078	4167.555943	4417.331321	3386.125501	3442.966194
1390997_at	Slc26a1	Rn.10016	BI303253	Solute carrier family 26 (sulfate transporter), member 1=chr14p22	9.630350958	7.693561604	7.632688356	6.039889024	7.116007198	7.12645929	7.92728055	5.558918748	6.214868282	7.777220793	7.646844771	8.367942922	8.127583118	10.19109618	7.603168267	9.60411692	7.851451804	7.714920012	7.559858891	8.804257337
1376116_at	Ddx24	Rn.100166	BM389678	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24=chr6q32	248.4856835	171.020924	144.6454784	148.0350764	210.0688742	157.1643394	173.0894256	163.9321658	150.2336689	171.7097988	111.333474	127.5944667	122.0578463	128.2349155	143.105647	129.6501699	145.4249946	140.8573071	143.5768337	125.1037222
1370708_a_at	LOC191574	Rn.10021	M61937	3-alpha-hydroxysteroid dehydrogenase=chr17q12.3	18199.42627	14029.75252	12938.84582	15539.44352	15968.8459	14985.95226	11775.43128	16249.9802	17560.6324	14948.37945	12921.43242	6153.126554	7882.33418	10626.70454	9251.17173	7633.299803	9866.904568	9998.284542	13226.16258	15126.12683
1396933_s_at	LOC191574	Rn.10021	BF545626	3-alpha-hydroxysteroid dehydrogenase=chr17q12.3	9670.904078	7894.704766	8494.02041	8799.909247	9683.815047	8233.021225	7711.705058	9356.302298	9899.767582	8473.77267	7937.221053	4828.108091	5337.696495	6492.788187	6812.796177	5833.181059	7084.129353	7235.867275	7864.680977	8823.778435
1370563_at	LOC191574	Rn.10021	D17310	3-alpha-hydroxysteroid dehydrogenase=chr17q12.3	12115.6114	11297.17944	13113.8802	12954.63915	14437.00959	12128.7594	11108.7705	13100.28003	13696.64038	12528.41607	8847.717273	8586.232598	9050.581418	10003.77164	11456.12723	9358.273452	11284.67039	12658.44886	12382.18956	11625.2786
1388556_at	Stx6	Rn.100217	BG381589	syntaxin 6=chr13q21	36.52836266	31.27787962	31.69557582	32.24504353	55.58526974	32.05157798	26.09265757	32.72576135	43.65202499	32.70963279	37.34120109	17.94001504	18.15491342	30.17487332	25.61815222	17.61344264	50.12268838	17.9470524	29.2280602	35.11577316
1393068_at	Fus	Rn.100218	AA956927	Fusion, derived from t(12;16) malignant liposarcoma (human)=chr1q36	74.87717722	128.7771173	181.4565924	106.2809393	150.6619013	192.8419896	168.4182613	144.3276526	135.402374	188.4121111	201.6073542	151.215054	140.2199239	132.472213	167.7956363	128.6232832	180.2029585	147.9823862	196.4606464	139.9728064
1373195_at	Fus	Rn.100218	AW532485	fusion, derived from t(12;16) malignant liposarcoma (human)=chr1q36	770.9232964	530.0943821	601.4631417	555.3655559	574.470958	591.5627626	564.0720925	503.9665144	663.6304991	847.472225	604.0745588	655.8996814	463.7079764	536.0511363	779.3124012	527.3674594	736.0560652	605.6481558	955.5424022	525.6988785
1387242_at	Prkr	Rn.10022	NM_019335	Protein kinase, interferon-inducible double stranded RNA dependent=chr6q11	651.6632114	682.4486476	464.8284098	838.5976819	1185.808526	561.6200921	263.9987036	474.3608218	367.2886319	700.1256654	370.1146211	269.897797	151.6137123	312.5501083	222.4183908	154.2131854	300.649743	297.4109045	252.5988483	364.6164934
1375872_at	---	Rn.100220	AI144944	Transcribed locus, strongly similar to XP_342839.1 PREDICTED: similar to Fukuyama type congenital muscular dystrophy homolog [Rattus norvegicus]=---	408.7794264	278.3149576	219.4722851	226.9606333	267.1078882	236.6208046	159.2665216	249.5888872	219.0748947	255.4315637	358.5788256	250.9349071	217.371714	293.8018977	220.5506469	228.2639097	192.0047551	177.4074573	204.5726867	225.4444889
1369495_at	Crhr2	Rn.10023	NM_022714	corticotropin releasing hormone receptor 2=chr4q24	9.984300555	10.15896752	10.21332704	10.33152209	10.0664924	10.28681771	12.83496252	10.24314287	10.20656392	9.817628098	10.12736645	10.40099106	10.34062342	10.05159891	9.969883849	13.10607711	10.63756543	16.4219853	9.980233634	9.603037058
1386951_at	Ndufa5	Rn.100240 /// rn.100240	NM_012985	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 5 /// NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 5=chr4q22	468.0494162	464.8177717	454.9813096	411.9906883	485.7877618	453.5800752	460.4778858	467.0907776	450.7818029	457.5039217	436.8587201	480.4714839	513.7864391	482.7504176	457.3110905	490.584643	481.5244893	414.1087542	559.6584607	450.3167637
1371597_at	Rnf187_predicted	Rn.100245	BI281621	ring finger protein 187 (predicted)=chr10q22	478.9215056	462.7492126	436.60868	497.6196595	435.0093868	450.1489231	389.2415073	460.0506923	448.750122	464.8784351	500.9880663	486.7691348	663.3815237	658.8669121	599.805601	408.9767341	479.982964	355.0291094	619.8168846	579.4844111
1370324_at	Atp7b	Rn.10025	AF120492	ATPase, Cu++ transporting, beta polypeptide=chr16q12.2-q12.4	101.4458711	103.0037075	101.9091146	105.6969957	102.6218689	104.3328874	102.1716635	103.6838401	103.7992752	101.621934	101.5527951	108.6823286	105.0814255	100.8775747	101.0495838	107.8269287	106.1909861	108.7385191	101.120503	98.4770462
1383523_at	Arhgef18_predicted	Rn.100250	BE110369	rho/rac guanine nucleotide exchange factor (GEF) 18 (predicted)=chr12p12	237.9078484	205.4687322	178.5812095	196.3619683	202.1484645	181.0925503	170.9275437	202.1744484	137.8806935	161.828889	189.7384685	118.8302049	197.0049848	250.0201063	170.9094302	216.2003971	215.1313189	194.8686656	270.2021547	274.9822226
1382041_at	Agpat3_predicted	Rn.100251	BI290161	1-acylglycerol-3-phosphate O-acyltransferase 3 (predicted)=chr20p12	246.1597615	178.0605874	139.9568765	132.7918168	138.1054975	132.1614259	146.341347	171.5781433	188.7915888	200.7345367	88.77576714	85.67018448	74.24293497	70.42558869	118.5243791	91.71411814	116.7482591	95.58859271	129.0458579	125.7360365
1374556_at	Smox_predicted	Rn.100278 /// rn.100278	BI289700	spermine oxidase (predicted) /// spermine oxidase (predicted)=chr3q36	20.75335126	7.879289023	9.218895927	6.430189402	12.24068441	7.198101292	8.823262812	8.388352718	7.952310663	9.391119067	5.237589472	7.282809352	5.94679001	7.745928074	7.749003313	8.129674398	7.475958881	6.464637257	8.181016417	7.069032918
1377192_a_at	Mvp	Rn.10028	BM384629	Major vault protein=chr1q36	2613.218621	1724.649359	1993.452882	1624.561889	1883.222138	1365.246175	1157.746387	946.6497501	1489.920028	2590.354043	4120.339387	3442.774398	4116.386779	2838.392997	2169.74367	2543.677297	2310.858408	1263.572641	2149.594009	2392.553517
1367925_at	Mvp	Rn.10028 /// rn.10028	NM_022715	major vault protein /// major vault protein=chr1q36	205.6186928	149.6007264	254.699084	189.4145316	221.8266569	163.7191852	214.3114505	195.5062812	178.743174	259.4430917	183.1114257	212.2764825	243.7411492	181.7234161	326.2043983	208.5961313	242.3958831	163.2782924	204.0664436	267.4003382
1372254_at	Serping1	Rn.100285 /// rn.100285	AW915763	serine (or cysteine) peptidase inhibitor, clade G, member 1 /// serine (or cysteine) peptidase inhibitor, clade G, member 1=chr3q24	8821.542216	8176.80755	7872.912834	8103.236937	8131.729107	7073.544772	11452.10712	7454.098097	7746.068209	8633.970331	10664.73376	8774.314179	9042.175162	8480.001238	10733.80929	9235.702266	8401.535502	6931.57709	8228.414471	9573.900785
1371510_at	Hcfc1r1	Rn.1003	AA944494	host cell factor C1 regulator 1 (XPO1-dependent)=chr10q12	340.7339199	322.2405231	316.7543658	288.8766392	381.2549728	261.6158533	230.5400991	287.4174393	293.4384707	285.0093415	366.3037794	478.7237745	481.7653025	537.6343518	346.4192933	575.8425944	300.4259999	312.177477	328.8224925	271.3884556
1387958_at	Akr1c18	Rn.10030 /// rn.10030	L32601	aldo-keto reductase family 1, member C18 /// aldo-keto reductase family 1, member C18=chr17q12.3	3.577913758	3.600295198	3.562169632	3.660507227	3.604744454	3.64496272	3.568018635	3.616745918	3.630959567	3.565562129	3.574976437	3.726770995	3.659360581	3.561391869	3.532119787	3.658746035	3.65336213	3.666280561	3.792179961	3.511831451
1369285_at	Pggt1b	Rn.10031	NM_031082	protein geranylgeranyltransferase type I, beta subunit=chr18q11	7.334202139	7.141274652	6.613665229	6.926195035	6.667314924	6.765504734	6.528394167	6.742921252	7.318389343	6.355989802	6.614470602	7.168610531	6.999325207	6.03461999	6.581843486	6.778943991	6.794490875	6.851106178	6.498907698	6.382160552
1368574_at	Adra1b	Rn.10032	NM_016991	adrenergic receptor, alpha 1b=chr10q21	1771.297971	1190.209052	983.6497216	1418.714178	1801.742981	742.774242	616.7045901	1068.011673	916.6687269	712.3898134	1154.179359	1020.487775	1344.405514	1231.507288	1713.531407	998.8820476	1292.833364	1211.032846	1625.149799	1492.127374
1373093_at	Errfi1	Rn.100336	AI169756	ERBB receptor feedback inhibitor 1=chr5q36	11310.13665	15793.11092	14051.66708	20972.30977	25244.74353	22201.05369	21778.67902	22509.85168	22128.77855	21693.75016	14034.66143	12938.15382	11091.92864	14249.65401	19209.87659	12279.36154	17227.98187	16508.54818	20876.70736	25179.82106
1387307_at	Hal	Rn.10037 /// rn.10037	NM_017159	histidine ammonia lyase /// histidine ammonia lyase=chr7q13	4858.912543	5405.496569	5103.694434	4407.908435	3627.209778	1511.074588	1288.699805	2679.263558	2779.336057	2967.790997	3038.534064	2572.664388	3039.385405	2437.231608	6028.154007	3922.414977	4739.370951	5474.757622	7107.57563	5424.126163
1394494_at	Arhgef19_predicted	Rn.100374 /// rn.100374	AA963519	Rho guanine nucleotide exchange factor (GEF) 19 (predicted) /// Rho guanine nucleotide exchange factor (GEF) 19 (predicted)=chr5q36	27.17899369	18.97172791	24.02509852	27.73704626	32.8737861	18.29069944	32.64680782	15.41746414	18.10255838	18.0761967	108.4285929	76.1757671	87.59098227	88.9916148	63.50987357	90.07407331	60.9396277	41.49245695	69.96398697	73.69801966
1374285_at	Rala	Rn.100380	AW531275	V-ral simian leukemia viral oncogene homolog A (ras related)=chr17q12.1	116.2552317	108.8544465	69.36467906	119.8049057	114.6871949	95.49499204	69.53247091	88.01040281	103.4039372	140.9164563	118.2064803	114.1548729	118.9025109	187.6352981	158.3767125	117.8272717	128.6461931	119.9890267	159.6186819	168.7843661
1368405_at	Rala	Rn.100380 /// rn.100380	NM_031093	v-ral simian leukemia viral oncogene homolog A (ras related) /// v-ral simian leukemia viral oncogene homolog A (ras related)=chr17q12.1	82.53092906	83.16783122	95.23785502	60.47705762	105.7250681	113.2179653	70.24563168	80.45990107	102.1477565	115.2124449	97.66009336	106.9136805	91.5090885	60.26401937	125.4083056	112.5172115	136.8599183	95.58469668	162.6413542	150.5182883
1370051_at	Tgm1	Rn.10039	NM_031659	transglutaminase 1=chr15p13	15.53686227	13.06723879	15.58251328	16.13263758	15.70758738	18.15249696	93.30465233	45.16686667	26.9392306	33.30007591	31.32245149	28.4988664	20.24661768	24.05458546	16.18740444	26.12649185	15.96382867	13.56849931	11.78557303	17.1036617
1373170_at	Gps2_predicted	Rn.100409	BI294756	G protein pathway suppressor 2 (predicted)=chr10q24	49.53976209	52.35599443	44.72892914	46.62300162	61.14517757	43.83206278	45.64421434	43.70976759	41.46942194	43.03494984	42.77870928	39.97283437	40.32486326	47.60780336	45.43351913	33.51364568	38.79260111	34.87357503	37.43320277	51.21380454
1381469_a_at	Perq1_predicted	Rn.100422	AW526967	PERQ amino acid rich, with GYF domain 1 (predicted)=chr12q12	61.85883616	85.05675266	103.364467	88.70097539	105.3203335	85.88309334	103.5440358	81.23986156	88.57870989	104.8307723	103.5995954	162.96768	106.1209126	61.55589678	176.6173476	171.3574828	193.5462206	145.8220039	105.1895528	106.3497833
1369351_at	Cntn3	Rn.10043	NM_019329	contactin 3=chr4q41	3.299562618	3.342314861	3.311670992	3.395283771	3.337043075	3.387449021	3.315346498	3.360115622	3.35961345	3.273166601	3.323216875	3.427310911	3.393541001	3.30973749	3.279772756	3.358029883	3.383662328	3.415238606	3.282277499	3.223167914
1384967_at	Sart2_predicted	Rn.100430	BM386930	Squamous cell carcinoma antigen recognized by T cells 2 (predicted)=chr20q11	35.09721428	51.17683218	54.01649265	52.33967333	44.99018911	45.31607726	51.350858	51.40743166	44.63024812	46.24732334	46.69032375	57.57897733	52.39682087	56.2405569	50.3220675	63.62040858	57.66254995	91.64730087	57.31886944	39.06036745
1368089_at	Pde2a	Rn.10044	NM_031079	phosphodiesterase 2A, cGMP-stimulated=chr1q32	56.35803895	47.62381117	65.90553896	40.23657718	52.25475984	127.5191981	122.37608	66.53826375	121.9786533	89.35798446	123.7615387	45.45144259	49.49730362	45.84365678	49.13268498	38.3616221	50.64125538	45.35116029	38.88009589	51.58438538
1393202_a_at	Igf2bp3	Rn.100446	BF414160	insulin-like growth factor 2, binding protein 3=chr4q24	175.9373935	62.9595098	32.99400839	47.94112464	104.1346851	22.45404158	23.33787252	27.4100941	27.29167344	20.93649124	27.8909164	27.50176883	26.89066353	26.14281899	24.74171641	27.2168583	26.93173864	27.15013842	25.99527799	25.56998801
1377824_a_at	Igf2bp3	Rn.100446	AI230709	insulin-like growth factor 2, binding protein 3=chr4q24	27.2101412	38.41887093	32.51944386	31.56616564	45.60269401	16.60162282	22.22533997	31.7815648	26.69291532	20.34060876	27.77470062	36.38118982	28.59496427	15.73134471	26.38553373	57.04503529	35.92001581	36.63887871	26.74862103	25.62872127
1369359_at	Il9r	Rn.10045	NM_017021	interleukin 9 receptor=chr10q12	5.585791065	5.666762988	5.70002393	5.828052886	5.746306881	5.812101932	5.725562525	5.771811228	5.768908887	5.690753282	5.730548471	5.858027513	5.808646815	5.705530328	5.620351998	5.729657385	5.815109785	5.812328825	5.656973035	5.621686421
1368560_at	Kcnj5	Rn.10047	NM_017297	potassium inwardly-rectifying channel, subfamily J, member 5=chr8q21	5.232566541	5.318839706	5.321758612	5.480510143	5.333325003	5.383361397	5.280290599	5.35826449	5.354384522	5.168122107	5.234375594	6.90123276	6.004588799	5.267687497	5.25473857	6.306869244	5.532373022	5.572424926	5.186304379	5.144034209
1372876_at	Sephs2	Rn.100471	AA799700	selenophosphate synthetase 2=chr1q36	2166.415003	1965.467237	1544.462289	1986.815415	2231.898664	1501.727871	1574.994975	1655.396251	1475.753175	1624.003864	940.5514051	746.1582305	855.7989621	1214.967696	1968.320408	1190.497636	1737.435879	1223.251511	1820.480573	2002.62772
1374711_at	Cpsf3	Rn.100522	BF283512	cleavage and polyadenylation specificity factor 3=chr6q16	137.0672779	109.7417315	139.0018799	112.1401125	139.5394497	141.7257475	138.6623572	129.6503668	130.9157383	135.0118703	124.2238066	185.8054566	149.7771452	199.8688787	164.1747963	174.2609127	193.5812401	154.7576658	219.2208215	144.1188339
1382280_at	Dusp9	Rn.100548	BF290998	Dual specificity phosphatase 9=chrXq37	26.42402482	32.46854061	26.94908033	27.85778664	26.10428101	27.36411944	26.6346232	31.43668441	47.65590985	28.96357604	31.01131186	25.96009117	34.68659861	29.2426872	24.6393321	23.66364739	27.94731481	29.4661949	22.63394676	41.78734985
1390430_at	Nr1d2	Rn.10055	BF284190	Nuclear receptor subfamily 1, group D, member 2=chr15p16	514.4837878	451.7540231	378.3991844	481.820517	471.2947061	683.0796536	302.461464	680.5276176	509.4785778	521.443631	254.8401662	185.4707917	268.8139422	777.6056537	735.6268443	529.3623874	373.0838014	533.5553252	385.1766977	721.0557667
1370541_at	Nr1d2	Rn.10055 /// rn.10055	U20796	nuclear receptor subfamily 1, group D, member 2 /// nuclear receptor subfamily 1, group D, member 2=chr15p16	595.2112687	508.944143	448.8136899	505.6388816	546.0371455	804.4881856	487.3032695	835.4582965	830.0486399	702.6026243	452.5911801	243.2977727	226.0978099	709.4001445	441.0452773	436.7825295	279.6500234	377.5986705	391.2356843	1061.495441
1370540_at	Nr1d2	Rn.10055 /// rn.10055	U15660	nuclear receptor subfamily 1, group D, member 2 /// nuclear receptor subfamily 1, group D, member 2=chr15p16	9.673278704	8.867100026	6.503114958	7.502102409	7.266846701	11.78406697	6.891038984	14.46173056	38.46827326	11.58827025	10.18363251	6.721526313	6.376459105	7.138054576	6.522185699	6.614940593	7.468014388	7.785222679	7.131034738	37.6530011
1392872_at	Stk16 /// RGD1560911_predicted /// RGD1306622_predicted	Rn.100550 /// Rn.13220 /// Rn.13308	BF397413	Serine/threonine kinase 16 /// Similar to BC026645 protein (predicted) /// Similar to KIAA0954 protein (predicted)=chr9q33 /// chr1q41 /// chr1q43	911.770751	572.8099985	358.9512011	591.317816	574.7132665	529.7325246	337.0207745	609.5391296	547.7368438	678.6745535	557.4868612	389.580397	289.3507794	340.94209	313.9675362	194.4593809	304.4188287	328.83667	426.6352714	657.2197537
1394528_at	Adar	Rn.10056	BF405166	Adenosine deaminase, RNA-specific=chr2q34	21.32314074	38.19867304	30.5860746	23.97616302	37.18684028	21.86107226	21.30040819	21.62426869	21.67756812	22.70065212	21.23037831	21.070525	17.9271159	18.35438424	21.15356614	18.58031936	21.90330098	20.96171898	21.07370508	20.81125849
1368973_at	Adar	Rn.10056	NM_031006	adenosine deaminase, RNA-specific=chr2q34	63.2008841	63.95924111	74.9253996	63.06011876	110.5779007	62.42195189	73.5335682	61.99001917	62.35439942	88.75948884	77.63827764	50.53200108	51.61087458	61.82030064	57.25748305	60.68387469	61.43945046	37.68246738	55.01262185	70.37231572
1372653_at	Fkbp11	Rn.100569 /// rn.100569	BI276210	FK506 binding protein 11 /// FK506 binding protein 11=chr7q36	554.1638601	410.7890336	562.7797106	334.9104739	413.5967979	701.4071461	594.140241	441.632367	551.6237589	476.4389779	662.929817	886.1386457	882.2067343	704.4191081	477.4244431	788.3022237	551.1244122	305.5894103	450.6121217	452.2422595
1373134_at	Fahd2a_predicted	Rn.100583	BE329450	fumarylacetoacetate hydrolase domain containing 2A (predicted)=chr3q36	479.4732182	372.8947802	434.7204781	426.8962046	455.4616751	310.461634	248.8524658	328.0683141	329.5930166	329.5085027	425.0832869	647.0617648	702.2921977	524.7628946	618.1567042	513.8537976	660.5435884	492.1588745	556.8306093	500.7400858
1383396_at	Fndc3a_predicted	Rn.100627	AA894079	fibronectin type III domain containing 3a (predicted)=chr15p11	2236.365285	1367.397815	1174.12293	1683.641767	1735.918066	1914.3525	1121.452601	1382.424792	1564.571842	1594.489443	1560.19579	1251.22893	1317.211347	1742.051102	911.9442845	960.2153175	985.6066207	704.0148934	1372.955509	1313.783585
1371808_at	Blmh	Rn.100672 /// rn.100672	AI012747	bleomycin hydrolase /// bleomycin hydrolase=chr10q26	83.78130476	80.71180024	79.79402517	71.11032614	91.4729712	82.98630851	81.50658315	81.94618772	82.53427517	107.3662918	90.1311035	83.39918487	82.90333667	83.09236166	86.73034565	37.64572655	92.57949641	62.86763833	81.09961491	74.22925195
1389329_at	Lgals8	Rn.10069	AI411914	lectin, galactoside-binding, soluble 8=chr17q12.1	1796.769378	1353.159024	1580.198038	1474.998283	1658.023914	2103.105999	1447.771955	1567.953566	1924.209504	2405.633603	2111.757808	1917.292428	2363.677512	2221.569423	2129.13563	1619.020895	1639.414343	1127.536233	2193.325051	1998.8033
1368960_at	Lgals8	Rn.10069	NM_053862	lectin, galactoside-binding, soluble 8=chr17q12.1	394.7992147	417.0854582	409.4568797	325.6723665	428.6812421	460.0138411	401.0235175	467.6851923	648.6265625	722.5706384	817.0711078	393.0803499	567.9557409	459.0740614	323.6608079	461.0147466	414.1967063	360.1125402	504.2731801	682.3952518
1374281_at	RGD1310969_predicted	Rn.100690	BE109901	similar to KIAA1259 protein (predicted)=chr3q35	212.6772598	188.9075866	213.0123038	215.5260388	214.7395613	214.501129	193.5030637	213.1746837	206.6241285	229.4412675	176.6020637	232.2054688	170.815522	234.9092728	319.3774863	225.830884	213.3194883	168.5625132	217.9736774	196.900068
1384010_at	Aldh5a1	Rn.10070	AW920178	Aldehyde dehydrogenase family 5, subfamily A1=chr17p11	18.28542335	19.29183602	23.47146708	18.68527853	21.59734069	25.92263452	17.97906628	18.47737521	26.00066671	18.21053713	18.18608244	18.72202598	18.66969081	18.11332533	18.68536976	19.30421199	18.61256216	24.50909802	18.21032389	17.95584158
1372569_at	Fhl3_predicted	Rn.100732	AI171676	four and a half LIM domains 3 (predicted)=chr5q36	12.05949878	12.18306222	13.60604378	12.78409431	12.27392724	12.95145074	13.42939631	12.53839684	12.40401305	12.18914195	12.21086116	13.71145579	12.84169602	12.02911572	12.09818399	12.81032552	12.73525475	12.95151144	11.96722522	11.73159446
1393914_at	Ftsj1_predicted	Rn.100745	AI709526	Ftsj homolog 1 (E. coli) (predicted)=chrXq13	11.56888068	10.90044589	11.48705836	10.06201567	11.69869174	10.26862531	12.88293293	11.81576118	11.71790253	16.47029617	12.57761958	14.10853978	10.73027191	12.25405668	11.40539473	9.562093628	11.46409788	12.2262349	12.17349571	19.1294123
1395070_at	Hnt	Rn.10075	AI136959	Neurotrimin=chr8q13	6.158402355	6.335038996	6.329660404	6.553618527	6.33186387	6.394712955	6.277702929	6.360970924	6.373348793	6.248447969	6.220977145	7.012618579	6.543994252	6.176494977	6.224545076	6.769386034	6.432758506	6.619166504	6.217451911	5.928810265
